latitude;longitude;altitude;;;;
54.57541,;-1.2389683333,;84;;;;
54.5754166667,;-1.2389816667,;85;;;;
54.575425,;-1.2389966667,;85;;;;
54.5754233333,;-1.239005,;85;;;;
54.57543,;-1.2390183333,;85;;;;
54.5754233333,;-1.2390333333,;85;;;;
54.575425,;-1.2390433333,;85;;;;
54.5754183333,;-1.2390583333,;85;;;;
54.5754116667,;-1.2390716667,;86;;;;
54.5754016667,;-1.2390866667,;85;;;;
54.5754,;-1.2390983333,;86;;;;
54.5753933333,;-1.2391083333,;86;;;;
54.575365,;-1.2391333333,;86;;;;
54.57535,;-1.2391566667,;87;;;;
54.5753316667,;-1.239185,;87;;;;
54.5753116667,;-1.2392083333,;87;;;;
54.5752933333,;-1.2392316667,;87;;;;
54.5752616667,;-1.2392566667,;87;;;;
54.575255,;-1.2392783333,;87;;;;
54.5752416667,;-1.2392983333,;86;;;;
54.5752316667,;-1.23931,;86;;;;
54.5752,;-1.2393333333,;87;;;;
54.57519,;-1.239345,;87;;;;
54.57518,;-1.2393566667,;88;;;;
54.575175,;-1.23937,;88;;;;
54.57518,;-1.2393816667,;88;;;;
54.5751633333,;-1.2393983333,;87;;;;
54.57514,;-1.2394133333,;87;;;;
54.5751116667,;-1.2394333333,;88;;;;
54.5750916667,;-1.2394566667,;87;;;;
54.57507,;-1.2394966667,;86;;;;
54.57502,;-1.2395383333,;86;;;;
54.5749983333,;-1.2395566667,;86;;;;
54.5749733333,;-1.23955,;86;;;;
54.5749466667,;-1.239545,;86;;;;
54.5749216667,;-1.2395483333,;86;;;;
54.5748416667,;-1.2395966667,;86;;;;
54.5748033333,;-1.2395983333,;87;;;;
54.5747683333,;-1.2396066667,;86;;;;
54.5747383333,;-1.2396116667,;85;;;;
54.57472,;-1.2396166667,;84;;;;
54.5747016667,;-1.2396133333,;84;;;;
54.5746883333,;-1.2396216667,;84;;;;
54.5746783333,;-1.2396233333,;85;;;;
54.5746666667,;-1.2396333333,;86;;;;
54.5746583333,;-1.2396366667,;85;;;;
54.5746516667,;-1.2396333333,;85;;;;
54.574645,;-1.2396316667,;85;;;;
54.57463,;-1.2396316667,;85;;;;
54.5746133333,;-1.2396283333,;86;;;;
54.5745983333,;-1.2396266667,;86;;;;
54.5745833333,;-1.239625,;86;;;;
54.5745666667,;-1.2396266667,;86;;;;
54.5745483333,;-1.2396266667,;86;;;;
54.5745233333,;-1.2396333333,;86;;;;
54.5745033333,;-1.2396383333,;86;;;;
54.57448,;-1.2396433333,;86;;;;
54.5744533333,;-1.2396466667,;86;;;;
54.5744283333,;-1.2396533333,;86;;;;
54.5744033333,;-1.23966,;86;;;;
54.57438,;-1.239665,;86;;;;
54.5743566667,;-1.23967,;85;;;;
54.574335,;-1.23968,;85;;;;
54.574315,;-1.23969,;84;;;;
54.5742966667,;-1.2397033333,;84;;;;
54.57428,;-1.23972,;84;;;;
54.5742633333,;-1.239735,;85;;;;
54.5742533333,;-1.2397466667,;85;;;;
54.5742383333,;-1.23976,;85;;;;
54.5742216667,;-1.2397733333,;84;;;;
54.5742033333,;-1.23978,;84;;;;
54.574185,;-1.2397866667,;84;;;;
54.5741666667,;-1.239785,;84;;;;
54.57415,;-1.23979,;83;;;;
54.5741316667,;-1.23979,;83;;;;
54.5741133333,;-1.2397933333,;83;;;;
54.574095,;-1.2397966667,;83;;;;
54.5740766667,;-1.2398,;82;;;;
54.57406,;-1.2398066667,;82;;;;
54.5740416667,;-1.2398166667,;82;;;;
54.574025,;-1.2398233333,;82;;;;
54.573985,;-1.2398983333,;82;;;;
54.5739683333,;-1.239895,;83;;;;
54.5739566667,;-1.2398716667,;83;;;;
54.57395,;-1.2398466667,;82;;;;
54.573945,;-1.2398116667,;82;;;;
54.5739383333,;-1.2397783333,;81;;;;
54.57393,;-1.239745,;81;;;;
54.5739216667,;-1.2397116667,;82;;;;
54.5739166667,;-1.2396783333,;82;;;;
54.573905,;-1.2396433333,;82;;;;
54.57389,;-1.2396066667,;82;;;;
54.573875,;-1.239565,;82;;;;
54.5738566667,;-1.239535,;84;;;;
54.5738416667,;-1.2395233333,;84;;;;
54.5738266667,;-1.2395166667,;84;;;;
54.5738083333,;-1.23951,;84;;;;
54.57379,;-1.2395,;84;;;;
54.57377,;-1.2394983333,;84;;;;
54.5737466667,;-1.2395033333,;85;;;;
54.5737233333,;-1.2395083333,;85;;;;
54.5736983333,;-1.2395116667,;85;;;;
54.5736716667,;-1.2395166667,;85;;;;
54.5736466667,;-1.2395183333,;85;;;;
54.57362,;-1.2395233333,;85;;;;
54.573595,;-1.239525,;85;;;;
54.5735666667,;-1.2395183333,;83;;;;
54.573545,;-1.2394966667,;83;;;;
54.5735266667,;-1.2394666667,;84;;;;
54.573515,;-1.2394283333,;84;;;;
54.5735083333,;-1.2393883333,;84;;;;
54.573505,;-1.2393466667,;84;;;;
54.5735,;-1.2393066667,;83;;;;
54.5734933333,;-1.2392633333,;83;;;;
54.57349,;-1.2392183333,;83;;;;
54.573485,;-1.2391733333,;83;;;;
54.57348,;-1.2391283333,;83;;;;
54.573475,;-1.2390883333,;84;;;;
54.57347,;-1.2390466667,;84;;;;
54.5734633333,;-1.2390016667,;84;;;;
54.5734583333,;-1.2389533333,;84;;;;
54.5734533333,;-1.2389016667,;83;;;;
54.5734516667,;-1.2388516667,;83;;;;
